kategoria;nasz slug;nasza nazwa;nasza cena (zl);kandydat u Balii;cena kandydata (zl);wynik;uwaga;cena detaliczna (WPISZ)
Filtracja;przejscia-filtracyjne-zawory;Przejścia filtracyjne + zawory;193,48;Przejścia filtracyjne z zaworami do filtracji;219,99;0,54;podobny wariant obok;
Filtracja;przejscie-filtracyjne;Przejście filtracyjne;52,77;;;0,38;podobny wariant obok;
Grzałki;grzalka-3kw-lx-h30-rs1-komplet;Grzałka 3kW LX H30-RS1 Komplet;1132,46;Grzałka elektryczna LX H30-RS1 – 3 kW;438,99;0,57;;
Grzałki;grzalka-pahlen-12kw;Grzałka Pahlen 12kW;1232,58;;;0,39;podobny wariant obok;
Grzałki;grzalka-pahlen-3kw;Grzałka Pahlen 3kW;1155,46;;;0,38;podobny wariant obok;
Grzałki;grzalka-pahlen-3kw-komplet;Grzałka Pahlen 3kW Komplet;1817,08;;;0,36;podobny wariant obok;
Grzałki;grzalka-pahlen-6kw;Grzałka Pahlen 6kW;1166,29;;;0,38;podobny wariant obok;
Grzałki;grzalka-pahlen-6kw-komplet;Grzałka Pahlen 6kW Komplet;1827,90;;;0,36;podobny wariant obok;
Grzałki;grzalka-pahlen-9kw;Grzałka Pahlen 9kW;1187,93;;;0,38;podobny wariant obok;
Grzałki;grzalka-pahlen-9kw-komplet;Grzałka Pahlen 9kW Komplet;1850,90;;;0,36;podobny wariant obok;
Masaż i dysze;aeromasaz-na-12-dysz;Aeromasaż na 12 dysz;879,45;Zestaw aeromasażu na 12 dysz 750W;1090,00;0,50;podobny wariant obok;
Masaż i dysze;hydromasaz-na-12-dysz;Hydromasaż na 12 dysz;1209,58;Zestaw hydromasażu na 12 dysz 1500W;1590,00;0,50;podobny wariant obok;
Masaż i dysze;hydromasaz-na-8-dysz;Hydromasaż na 8 dysz;990,40;;;0,50;;
Masaż i dysze;pompa-hydromasazu-lp300-2200w;Pompa hydromasażu LP300 2200W;1320,53;;;0,46;podobny wariant obok;
Masaż i dysze;pompa-powietrza-dxd-6p-0-75-kw;Pompa powietrza DXD 6P 0.75 kW;385,61;Pompa powietrza do aeromasażu 0,75kW;399,00;0,53;podobny wariant obok;
Minibarki;minibarek-podswietlany-plywajacy;Minibarek podświetlany pływający;242,19;;;0,48;podobny wariant obok;
Minibarki;minibarek-przykrecany-falowany;"Minibarek przykręcany ""falowany""";165,07;Minibarek stalowy przykręcany;180,00;0,58;podobny wariant obok;
Minibarki;minibarek-przykrecany-drewniany;Minibarek przykręcany drewniany;154,24;Minibarek drewniany przykręcany;200,00;0,87;podobny wariant obok;
Minibarki;minibarek-przykrecany-srebrny-z-logo;Minibarek przykręcany srebrny z logo;154,24;;;0,50;podobny wariant obok;
Minibarki;stolik-zawieszany;Stolik zawieszany;132,59;;;0,48;podobny wariant obok;
Montaż i hydraulika;czyscik-weld-on;Czyścik WELD ON;28,41;;;0,29;podobny wariant obok;
Montaż i hydraulika;klej-weld-on;Klej WELD ON;28,41;;;0,42;;
Montaż i hydraulika;kolano-plastikowe-20-mm;Kolano plastikowe 20 mm;4,06;;;0,36;podobny wariant obok;
Montaż i hydraulika;kolano-plastikowe-32-mm;Kolano plastikowe 32 mm;5,41;;;0,36;podobny wariant obok;
Montaż i hydraulika;kolano-plastikowe-50-mm;Kolano plastikowe 50 mm;6,77;;;0,36;podobny wariant obok;
Montaż i hydraulika;mufa-32-mm;Mufa 32 mm;5,41;;;0,46;podobny wariant obok;
Montaż i hydraulika;mufa-50-mm;Mufa 50 mm;8,79;;;0,46;podobny wariant obok;
Montaż i hydraulika;rozdzielacz-3-8-8-wyjsc;Rozdzielacz 3/8 - 8 wyjść;37,88;;;0,41;;
Montaż i hydraulika;silikon;Silikon;23,00;;;0,18;podobny wariant obok;
Montaż i hydraulika;trojnik-32x32mm;Trójnik 32x32mm;5,41;;;0,44;podobny wariant obok;
Montaż i hydraulika;trojnik-50x32mm;Trójnik 50x32mm;10,82;;;0,40;podobny wariant obok;
Montaż i hydraulika;waz-20-mm-cena-za-1-mb;Wąż 20 mm — cena za 1 mb;10,82;;;0,26;podobny wariant obok;
Montaż i hydraulika;waz-3-8-cena-za-1-mb;"Wąż 3/8"" — cena za 1 mb";5,41;;;0,35;;
Montaż i hydraulika;waz-32-mm-cena-za-1-mb;Wąż 32 mm — cena za 1 mb;13,53;;;0,27;podobny wariant obok;
Montaż i hydraulika;waz-50-mm-cena-za-1-mb;Wąż 50 mm — cena za 1 mb;16,24;;;0,26;podobny wariant obok;
Montaż i hydraulika;zawor-kulowy-1;"Zawór kulowy 1""";33,83;;;0,43;;
Montaż i hydraulika;zawor-kulowy-pvc;Zawór kulowy PVC;13,53;;;0,47;;
Montaż i hydraulika;zawor-spustowy-polautomatyczny;Zawór spustowy półautomatyczny;120,42;;;0,49;;
Oświetlenie i nagłośnienie;lampka-led-jednopunktowa;Lampka LED jednopunktowa;55,47;;;0,30;podobny wariant obok;
Oświetlenie i nagłośnienie;oswietlenie-10-punktowe-miniled-komplet;Oświetlenie 10-punktowe miniled Komplet;336,90;;;0,32;;
Oświetlenie i nagłośnienie;oswietlenie-jednopunktowe-led-komplet;Oświetlenie jednopunktowe LED Komplet;169,13;;;0,24;podobny wariant obok;
Piece i osprzęt;kolanka-do-pieca-solo;Kolanka do pieca solo;92,00;;;0,44;podobny wariant obok;
Piece i osprzęt;opaski-do-weza-cisnieniowego-cena-za-1-szt;Opaski do węża ciśnieniowego — cena za 1 szt.;13,53;;;0,41;;
Piece i osprzęt;oslona-komina-przeciw-oparzeniowa-do-balii-ogrodowej-kompatybilna-z-piecami-zewnetrznymi-wewnetrznymi-cena-za-1-szt;Osłona komina przeciw oparzeniowa do balii ogrodowej kompatybilna z piecami zewnętrznymi/wewnętrznymi — cena za 1 szt.;197,54;;;0,36;;
Piece i osprzęt;piec-zewnetrzny-z-szybka-26kw-aisi-304;Piec zewnętrzny z szybką 26kW AISI 304;2528,76;Piec do balii 26kW z szybką AISI 304;2399,00;0,69;podobny wariant obok;
Piece i osprzęt;piec-zewnetrzny-z-szybka-26kw-aisi-316;Piec zewnętrzny z szybką 26kW AISI 316;3078,08;Piec 30kW z szybką AISI 316;3499,00;0,64;podobny wariant obok;
Piece i osprzęt;zestaw-kolanek-do-pieca-2x-kolanko-60cm-weza-cisnieniowego-4x-opaska-zaciskowa-cena-za-2-szt;Zestaw Kolanek do pieca (2x kolanko, 60cm węża ciśnieniowego, 4x opaska zaciskowa) — cena za 2 szt.;185,90;;;0,33;podobny wariant obok;
Pokrywy termiczne;pokrywa-termiczna-160-cm-x-200-cm;Pokrywa termiczna 160 cm x 200 cm;879,45;Pokrywa termiczna 200 cm;1090,00;0,70;podobny wariant obok;
Pokrywy termiczne;pokrywa-termiczna-200-cm-x-200-cm;Pokrywa termiczna 200 cm x 200 cm;879,45;Pokrywa termiczna 200 cm;1090,00;0,79;;
Pokrywy termiczne;pokrywa-termiczna-203-cm-x-203-cm;Pokrywa termiczna 203 cm x 203 cm;1099,99;Pokrywa termiczna kwadratowa 203×203;1450,00;0,63;podobny wariant obok;
Pokrywy termiczne;pokrywa-termiczna-220x220-kwadratowa;Pokrywa termiczna 220x220 kwadratowa;1209,58;Pokrywa termiczna kwadratowa 202×202;1090,00;0,67;podobny wariant obok;
Pokrywy termiczne;pokrywa-termiczna-na-beczke-100-cm;Pokrywa termiczna na beczkę 100 cm;550,67;Pokrywa termiczna 200 cm;1090,00;0,56;podobny wariant obok;
Wkłady do balii;wklad-akrylowy-okragly-200cm-biala-perla;Wkład akrylowy okrągły 200cm biała perła;3839,81;Wkład akrylowy okrągły szara perła;4660,00;0,68;podobny wariant obok;
Wkłady do balii;wklad-akrylowy-okragly-200cm-z-wytloczeniemi-na-dysze-biala-perla;Wkład akrylowy okrągły 200cm z wytłoczeniemi na dysze biała perła;3839,81;Wkład akrylowy okrągły z wytłoczeniami pod dysze szara perła;3899,00;0,64;;
Wkłady do balii;wklad-akrylowy-z-wytloczeniami-kwadrat-z-miejscem-lezacym-220-cm-x-220-cm;Wkład akrylowy z wytłoczeniami — Kwadrat z miejscem leżącym 220 cm x 220 cm;6047,91;;;0,49;podobny wariant obok;
Wkłady do balii;wklad-akrylowy-z-wytloczeniami-okragly-standard-metalik-200-cm-zewnetrzny;Wkład akrylowy z wytłoczeniami — Okrągły standard metalik 200 cm zewnętrzny;3739,69;;;0,43;podobny wariant obok;
Wkłady do balii;wklad-akrylowy-kwadratowy-200-cm-x200-cm-zewnetrzny-wewnetrzny;Wkład akrylowy — Kwadratowy 200 cm x200 cm zewnętrzny / wewnętrzny;5993,79;;;0,43;podobny wariant obok;
Wkłady do balii;wklad-akrylowy-kwadratowy-z-miejscem-lezacym-203-cm-x-203-cm;Wkład akrylowy — Kwadratowy z miejscem leżącym 203 cm x 203 cm;6599,93;Wkład akrylowy z miejscem leżącym czarny marmur;7199,00;0,54;podobny wariant obok;
Wkłady do balii;wklad-akrylowy-kwadratowy-z-miejscem-lezacym-203-cm-x-203-cm-marmur;Wkład akrylowy — Kwadratowy z miejscem leżącym 203 cm x 203 cm marmur;7699,92;Wkład akrylowy z miejscem leżącym czarny marmur;7199,00;0,63;podobny wariant obok;
Wkłady do balii;wklad-akrylowy-okragly-200-cm-zewnetrzny-wewnetrzny;Wkład akrylowy — Okrągły 200 cm zewnętrzny / wewnętrzny;4782,86;Wkład akrylowy okrągły czarny marmur;3899,00;0,50;podobny wariant obok;
Wkłady do balii;wklad-do-beczki-schladzajacej-wlokno-szklane-perla-okregi-z-laminatu;Wkład do beczki schładzającej — Włókno szklane perła + okręgi z laminatu;1430,12;;;0,33;podobny wariant obok;
Wkłady do balii;wklad-do-beczki-schladzajacej-wlokno-szklane-standard-okregi-z-laminatu;Wkład do beczki schładzającej — Włókno szklane standard + okręgi z laminatu;1319,18;;;0,31;podobny wariant obok;
Wkłady do balii;wklad-do-beczki-schladzajacej-wlokno-szklane-standard-okregi-z-laminatu-2;Wkład do beczki schładzającej — Włókno szklane standard + okręgi z laminatu;1758,90;;;0,31;podobny wariant obok;
Wkłady do balii;wklad-z-wlokna-szklanego-kwadrat-172-cm-x-202-cm-granitcoat;Wkład z włókna szklanego — Kwadrat 172 cm x 202 cm granitcoat;3682,87;Wkład z włókna szklanego kwadrat z miejscem leżącym grafit granitcoat;4599,00;0,58;podobny wariant obok;
Wkłady do balii;wklad-z-wlokna-szklanego-kwadrat-172-cm-x-202-cm-perla;Wkład z włókna szklanego — Kwadrat 172 cm x 202 cm perła;3352,73;Wkład z włókna szklanego kwadrat grafit;3269,00;0,57;podobny wariant obok;
Wkłady do balii;wklad-z-wlokna-szklanego-kwadrat-172-cm-x-202-cm-standard;Wkład z włókna szklanego — Kwadrat 172 cm x 202 cm standard;3244,49;Wkład z włókna szklanego kwadrat grafit;3269,00;0,55;podobny wariant obok;
Wkłady do balii;wklad-z-wlokna-szklanego-kwadrat-202-cm-x-202-cm-standard;Wkład z włókna szklanego — Kwadrat 202 cm x 202 cm standard;3299,97;Wkład z włókna szklanego kwadrat grafit;3269,00;0,58;podobny wariant obok;
Wkłady do balii;wklad-z-wlokna-szklanego-kwadrat-z-miejscem-lezacym-196-cm-x-203-cm-perla;Wkład z włókna szklanego — Kwadrat z miejscem leżącym 196 cm x 203 cm perła;3409,56;Wkład z włókna szklanego kwadrat z miejscem leżącym grafit granitcoat;4599,00;0,61;;
Wkłady do balii;wklad-z-wlokna-szklanego-kwadrat-z-miejscem-lezacym-196-cm-x-203-cm-standard;Wkład z włókna szklanego — Kwadrat z miejscem leżącym 196 cm x 203 cm standard;3299,97;Wkład z włókna szklanego kwadrat z miejscem leżącym grafit granitcoat;4599,00;0,61;;
Wkłady do balii;wklad-z-wlokna-szklanego-okragly-200-cm-granicoat-zewnetrzny-wewnetrzny;Wkład z włókna szklanego — Okrągły 200 cm granicoat zewnętrzny / wewnętrzny;2646,47;Wkład z włókna szklanego okrągły grafit;2230,00;0,54;podobny wariant obok;
Wkłady do balii;wklad-z-wlokna-szklanego-okragly-200-cm-perla-zewnetrzny-wewnetrzny;Wkład z włókna szklanego — Okrągły 200 cm perla zewnętrzny / wewnętrzny;2385,34;Wkład z włókna szklanego okrągły grafit perła;2330,00;0,61;podobny wariant obok;
Wkłady do balii;wklad-z-wlokna-szklanego-okragly-200-cm-standard-zewnetrzny-wewnetrzny;Wkład z włókna szklanego — Okrągły 200 cm standard zewnętrzny / wewnętrzny;2298,75;Wkład z włókna szklanego okrągły jasnoszary;2230,00;0,54;podobny wariant obok;
