wynik;uwaga;nasz slug;nasza nazwa;ich nazwa;ich cena (zl);ich slug
0.64;podobny wariant obok;piec-zewnetrzny-z-szybka-26kw-aisi-316;Piec zewnętrzny z szybką 26kW AISI 316;Piec 30kW z szybką AISI 316;3499,00;piec-30kw-z-szybka-aisi-316
0.63;;przycisk-pneumatyczny;Przycisk pneumatyczny;Przycisk pneumatyczny AISI 316;39,99;przycisk-pneumatyczny-aisi-316
0.63;podobny wariant obok;wklad-akrylowy-kwadratowy-z-miejscem-lezacym-203-cm-x-203-cm-marmur;Wkład akrylowy — Kwadratowy z miejscem leżącym 203 cm x 203 cm marmur;Wkład akrylowy z miejscem leżącym czarny marmur;7199,00;wklad-akrylowy-z-miejscem-lezacym-czarny-marmur
0.63;podobny wariant obok;pokrywa-termiczna-203-cm-x-203-cm;Pokrywa termiczna 203 cm x 203 cm;Pokrywa termiczna kwadratowa 203×203;1450,00;pokrywa-termiczna-kwadratowa-203-203
0.62;;grzalka-3kw-lx-h30-rs1;Grzałka 3kW LX H30-RS1;Grzałka elektryczna LX H30-RS1 – 3 kW;438,99;grzalka-elektryczna-lx-h30-rs1-3-kw
0.61;podobny wariant obok;wklad-z-wlokna-szklanego-okragly-200-cm-perla-zewnetrzny-wewnetrzny;Wkład z włókna szklanego — Okrągły 200 cm perla zewnętrzny / wewnętrzny;Wkład z włókna szklanego okrągły grafit perła;2330,00;wklad-z-wlokna-szklanego-okragly-grafit-perla
0.61;;regulator-hydromasazu;Regulator hydromasażu;Regulator do hydromasażu AISI 316;44,99;regulator-do-hydromasazu-aisi-316
0.61;;wklad-z-wlokna-szklanego-kwadrat-z-miejscem-lezacym-196-cm-x-203-cm-perla;Wkład z włókna szklanego — Kwadrat z miejscem leżącym 196 cm x 203 cm perła;Wkład z włókna szklanego kwadrat z miejscem leżącym grafit granitcoat;4599,00;wklad-z-wlokna-szklanego-kwadrat-z-miejscem-lezacym-grafit-granitcoat
0.61;;wklad-z-wlokna-szklanego-kwadrat-z-miejscem-lezacym-196-cm-x-203-cm-standard;Wkład z włókna szklanego — Kwadrat z miejscem leżącym 196 cm x 203 cm standard;Wkład z włókna szklanego kwadrat z miejscem leżącym grafit granitcoat;4599,00;wklad-z-wlokna-szklanego-kwadrat-z-miejscem-lezacym-grafit-granitcoat
0.61;podobny wariant obok;ssak-do-hydromasazu-50-mm-katowy;Ssak do hydromasażu 50 mm kątowy;Ssak kątowy 50 mm AISI 316 do hydromasażu;39,99;ssak-katowy-50-mm-aisi-316-do-hydromasazu
0.59;;tabliczka-na-przycisk-do-balii-ogrodowej;Tabliczka na przycisk do balii ogrodowej;Tabliczki na przyciski do balii ogrodowej;10,00;tabliczki-na-przyciski-do-balii-ogrodowej
0.59;podobny wariant obok;zatyczka-32-mm;Zatyczka 32 mm;Zatyczka 32mm;2,99;zatyczka-32mm
0.59;podobny wariant obok;zatyczka-20-mm;Zatyczka 20 mm;Zatyczka 20mm;2,99;zatyczka-20mm
0.58;podobny wariant obok;minibarek-przykrecany-falowany;"Minibarek przykręcany ""falowany""";Minibarek stalowy przykręcany;180,00;minibarek-stalowy-przykrecany
0.58;podobny wariant obok;wklad-z-wlokna-szklanego-kwadrat-202-cm-x-202-cm-standard;Wkład z włókna szklanego — Kwadrat 202 cm x 202 cm standard;Wkład z włókna szklanego kwadrat grafit;3269,00;wklad-z-wlokna-szklanego-kwadrat-grafit
0.58;;trojnik-20-mm;Trójnik 20 mm;Trójnik skośny PVC 20 mm;5,99;trojnik-skosny-pvc-20-mm
0.58;podobny wariant obok;wklad-z-wlokna-szklanego-kwadrat-172-cm-x-202-cm-granitcoat;Wkład z włókna szklanego — Kwadrat 172 cm x 202 cm granitcoat;Wkład z włókna szklanego kwadrat z miejscem leżącym grafit granitcoat;4599,00;wklad-z-wlokna-szklanego-kwadrat-z-miejscem-lezacym-grafit-granitcoat
0.57;;grzalka-3kw-lx-h30-rs1-komplet;Grzałka 3kW LX H30-RS1 Komplet;Grzałka elektryczna LX H30-RS1 – 3 kW;438,99;grzalka-elektryczna-lx-h30-rs1-3-kw
0.57;podobny wariant obok;wklad-z-wlokna-szklanego-kwadrat-172-cm-x-202-cm-perla;Wkład z włókna szklanego — Kwadrat 172 cm x 202 cm perła;Wkład z włókna szklanego kwadrat grafit;3269,00;wklad-z-wlokna-szklanego-kwadrat-grafit
0.56;;piec-wewnetrzny-z-szybka-30kw-komplet-bez-oslony-aisi-304;Piec wewnętrzny z szybką 30kW komplet (bez osłony) AISI 304;Piec 30kW z szybką AISI 304;2999,00;piec-30kw-z-szybka-aisi-304
0.56;;piec-wewnetrzny-z-szybka-30kw-komplet-bez-oslony-aisi-316;Piec wewnętrzny z szybką 30kW komplet (bez osłony) AISI 316;Piec 30kW z szybką AISI 316;3499,00;piec-30kw-z-szybka-aisi-316
0.56;;aktywny-tlen;Aktywny tlen;ChlorTix OXY Aktywny Tlen;69,99;chlortix-oxy-aktywny-tlen
0.56;podobny wariant obok;pokrywa-termiczna-na-beczke-100-cm;Pokrywa termiczna na beczkę 100 cm;Pokrywa termiczna 200 cm;1090,00;pokrywa-termiczna-200-cm
0.55;;piec-wewnetrzny-horizon-30kw-komplet-bez-oslony-aisi-304;Piec wewnętrzny HORIZON 30kW komplet (bez osłony) AISI 304;Piec zintegrowany HORIZON 30kW AISI 304;3249,00;piec-zintegrowany-horizon-30kw-aisi-304
0.55;podobny wariant obok;wklad-z-wlokna-szklanego-kwadrat-172-cm-x-202-cm-standard;Wkład z włókna szklanego — Kwadrat 172 cm x 202 cm standard;Wkład z włókna szklanego kwadrat grafit;3269,00;wklad-z-wlokna-szklanego-kwadrat-grafit
0.55;;przejscie-burtowe-do-podlaczenia-pieca-do-balii-ogrodowej-cena-za-1-szt;Przejście burtowe do podłączenia pieca do balii ogrodowej — cena za 1 szt.;Przejście burtowe do podłączenia pieca;69,99;przejscie-burtowe-do-podlaczenia-pieca
0.54;podobny wariant obok;wklad-akrylowy-kwadratowy-z-miejscem-lezacym-203-cm-x-203-cm;Wkład akrylowy — Kwadratowy z miejscem leżącym 203 cm x 203 cm;Wkład akrylowy z miejscem leżącym czarny marmur;7199,00;wklad-akrylowy-z-miejscem-lezacym-czarny-marmur
0.54;podobny wariant obok;wklad-z-wlokna-szklanego-okragly-200-cm-granicoat-zewnetrzny-wewnetrzny;Wkład z włókna szklanego — Okrągły 200 cm granicoat zewnętrzny / wewnętrzny;Wkład z włókna szklanego okrągły grafit;2230,00;wklad-z-wlokna-szklanego-okragly-grafit
0.54;;tasma-led-komplet;Taśma LED Komplet;Taśma LED z przetwornikiem;338,99;tasma-led-z-przetwornikiem
0.54;;stelaz-do-balii;Stelaż do balii;Stelaż drewniany do balii ogrodowej;499,00;stelaz-drewniany-do-balii-ogrodowej
0.54;podobny wariant obok;przejscia-filtracyjne-zawory;Przejścia filtracyjne + zawory;Przejścia filtracyjne z zaworami do filtracji;219,99;przejscia-filtracyjne-z-zaworami-do-filtracji
0.54;podobny wariant obok;wklad-z-wlokna-szklanego-okragly-200-cm-standard-zewnetrzny-wewnetrzny;Wkład z włókna szklanego — Okrągły 200 cm standard zewnętrzny / wewnętrzny;Wkład z włókna szklanego okrągły jasnoszary;2230,00;wklad-z-wlokna-szklanego-okragly-jasnoszary
0.53;podobny wariant obok;ssak-do-hydromasazu-50-mm-prosty;Ssak do hydromasażu 50 mm prosty;Ssak 50 mm AISI 316 do hydromasażu;39,99;ssak-50-mm-aisi-316-do-hydromasazu
0.53;podobny wariant obok;pompa-powietrza-dxd-6p-0-75-kw;Pompa powietrza DXD 6P 0.75 kW;Pompa powietrza do aeromasażu 0,75kW;399,00;pompa-powietrza-do-aeromasazu-0-75kw
0.52;;obejmy-do-beczki;Obejmy do beczki;Obejmy nierdzewne do beczki do schładzania;250,00;obejmy-nierdzewne-do-beczki-do-schladzania
0.50;podobny wariant obok;aeromasaz-na-12-dysz;Aeromasaż na 12 dysz;Zestaw aeromasażu na 12 dysz 750W;1090,00;zestaw-aeromasazu-na-12-dysz-750w
0.50;podobny wariant obok;wklad-akrylowy-okragly-200-cm-zewnetrzny-wewnetrzny;Wkład akrylowy — Okrągły 200 cm zewnętrzny / wewnętrzny;Wkład akrylowy okrągły czarny marmur;3899,00;wklad-akrylowy-okragly-czarny-marmur
0.50;podobny wariant obok;hydromasaz-na-12-dysz;Hydromasaż na 12 dysz;Zestaw hydromasażu na 12 dysz 1500W;1590,00;zestaw-hydromasazu-na-12-dysz-1500w
